Date,Aircraft,Category,Total Time,PIC,SIC,Instructor,Dual Received,Night,Act Inst,Sim Inst,X-Country
2019-08-09,UH-60M,Rotorcraft,3.4,0.0,3.4,0.0,0.0,0.0,0.0,0.0,3.4
2019-08-12,UH-60M,Rotorcraft,3.2,0.0,3.2,0.0,0.0,2.0,0.0,0.0,3.2
2019-08-14,UH-60M,Rotorcraft,3.2,0.0,3.2,0.0,0.0,0.0,0.0,0.0,3.2
2019-08-16,UH-60M,Rotorcraft,3.4,0.0,3.4,0.0,0.0,0.0,0.0,0.0,3.4
2019-08-19,UH-60M,Rotorcraft,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,2.1
2019-08-21,UH-60M,Rotorcraft,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,2.1
2019-08-22,UH-60M,Rotorcraft,3.5,0.0,3.5,0.0,0.0,2.0,0.0,0.0,3.5
2019-08-23,UH-60M,Rotorcraft,2.2,0.0,2.2,0.0,0.0,0.0,0.0,0.0,2.2
2019-08-28,UH-60M,Rotorcraft,3.7,0.0,3.7,0.0,0.0,0.0,0.0,0.0,3.7
2019-08-29,UH-60M,Rotorcraft,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,2.1
2019-08-30,UH-60M,Rotorcraft,3.8,0.0,3.8,0.0,0.0,0.0,0.0,0.0,3.8
2019-09-03,UH-60M,Rotorcraft,3.6,0.0,3.6,0.0,0.0,1.8,0.0,0.0,3.6
2019-09-04,UH-60M,Rotorcraft,3.7,0.0,3.7,0.0,0.0,0.0,0.0,0.0,3.7
2019-09-05,UH-60M,Rotorcraft,4.4,0.0,4.4,0.0,0.0,0.0,0.0,0.0,4.4
2019-09-06,UH-60M,Rotorcraft,3.7,0.0,3.7,0.0,0.0,0.0,0.0,0.0,3.7
2019-09-09,UH-60M,Rotorcraft,4.3,0.0,4.3,0.0,0.0,0.0,0.0,0.0,4.3
2019-09-10,UH-60M,Rotorcraft,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
2019-09-13,UH-60M,Rotorcraft,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5
2019-09-16,UH-60M,Rotorcraft,2.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0,2.3
2019-09-17,UH-60M,Rotorcraft,3.4,0.0,3.4,0.0,0.0,0.0,0.0,0.0,3.4
2019-09-23,UH-60M,Rotorcraft,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5
2019-09-26,UH-60M,Rotorcraft,3.7,0.0,3.7,0.0,0.0,0.0,0.0,0.0,3.7
2019-09-30,UH-60M,Rotorcraft,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5
2019-10-04,UH-60M,Rotorcraft,3.7,0.0,3.7,0.0,0.0,1.8,0.0,0.0,3.7
2019-10-08,UH-60M,Rotorcraft,3.8,0.0,3.8,0.0,0.0,0.0,0.0,0.0,3.8
2023-04-22,PA-28-161,"ASEL, Piston",1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
2023-06-18,R22 BETA II,Rotorcraft,1.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
2023-06-20,R44 RAVEN II,Rotorcraft,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0
2023-07-29,PA-28-161,"ASEL, Piston",1.8,0.0,0.0,0.0,1.8,0.0,0.0,0.3,0.0
2023-08-05,PA-28-161,"ASEL, Piston",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,0.0
2023-08-12,PA-28-161,"ASEL, Piston",1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.3,0.0
2023-08-26,PA-28-161,"ASEL, Piston",2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.4,0.0
2023-09-02,PA-28-161,"ASEL, Piston",1.9,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0
2023-09-09,PA-28-161,"ASEL, Piston",2.3,0.0,0.0,0.0,2.3,0.0,0.0,0.4,0.0
2023-09-16,PA-28-161,"ASEL, Piston",1.7,0.0,0.0,0.0,1.7,0.0,0.0,0.3,0.0
2023-09-23,PA-28-161,"ASEL, Piston",1.7,0.0,0.0,0.0,1.7,0.0,0.0,0.3,0.0
2023-11-18,PA-28-161,"ASEL, Piston",1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
2023-12-30,PA-28-161,"ASEL, Piston",2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2024-01-13,PA-28-161,"ASEL, Piston",2.1,0.5,0.0,0.0,1.6,0.0,0.0,0.0,0.0
2024-01-20,PA-28-161,"ASEL, Piston",2.1,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0
2024-02-03,PA-28-161,"ASEL, Piston",2.1,0.0,0.0,0.0,2.1,0.0,0.0,0.7,0.0
2024-02-24,PA-28-161,"ASEL, Piston",1.8,0.0,0.0,0.0,1.8,0.0,0.0,0.8,0.0
2024-04-06,PA-28-161,"ASEL, Piston",2.4,0.0,0.0,0.0,2.4,0.0,0.0,0.5,0.0
2024-06-08,PA-28-161,"ASEL, Piston",2.6,0.0,0.0,0.0,2.6,0.3,0.0,0.6,0.0
